;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
kellyreynoldskd;mog7546;;;;;;;;;;;;;Mentions;2-5-2021 12:55;"RT @mog7546: This is the fringiest of the fringe

#QAnon GOP Cultists Are Holding UV Lights To AZ Ballots Looking For Secret Watermarks

#M…";;;qanon;2-5-2021 12:55;https://twitter.com/#!/kellyreynoldskd/status/1388839666238074880;;;1388839666238074880;
mricallball;mog7546;;;;;;;;;;;;;Mentions;2-5-2021 12:56;"RT @mog7546: This is the fringiest of the fringe

#QAnon GOP Cultists Are Holding UV Lights To AZ Ballots Looking For Secret Watermarks

#M…";;;qanon;2-5-2021 12:56;https://twitter.com/#!/mricallball/status/1388839720617185281;;;1388839720617185281;
corgiboys;mog7546;;;;;;;;;;;;;Mentions;2-5-2021 12:57;"RT @mog7546: This is the fringiest of the fringe

#QAnon GOP Cultists Are Holding UV Lights To AZ Ballots Looking For Secret Watermarks

#M…";;;qanon;2-5-2021 12:57;https://twitter.com/#!/corgiboys/status/1388840010988851202;;;1388840010988851202;
loverofbooks123;mog7546;;;;;;;;;;;;;Mentions;2-5-2021 12:57;"RT @mog7546: This is the fringiest of the fringe

#QAnon GOP Cultists Are Holding UV Lights To AZ Ballots Looking For Secret Watermarks

#M…";;;qanon;2-5-2021 12:57;https://twitter.com/#!/loverofbooks123/status/1388840053183586304;;;1388840053183586304;
paulat1962;mog7546;;;;;;;;;;;;;Mentions;2-5-2021 12:57;"RT @mog7546: This is the fringiest of the fringe

#QAnon GOP Cultists Are Holding UV Lights To AZ Ballots Looking For Secret Watermarks

#M…";;;qanon;2-5-2021 12:57;https://twitter.com/#!/paulat1962/status/1388840181839667203;;;1388840181839667203;
cynicalvision50;mog7546;;;;;;;;;;;;;Mentions;2-5-2021 12:58;"RT @mog7546: This is the fringiest of the fringe

#QAnon GOP Cultists Are Holding UV Lights To AZ Ballots Looking For Secret Watermarks

#M…";;;qanon;2-5-2021 12:58;https://twitter.com/#!/cynicalvision50/status/1388840424849166338;;;1388840424849166338;
sasmeijer;rudybouma;;;;;;;;;;;;;Mentions;2-5-2021 13:01;RT @rudybouma: Baudet's bron is een #QAnon-aanhangster die gelooft in een satanische, pedofiele, bloeddrinkende elite. Ze noemt ook Obama e…;;;qanon;2-5-2021 13:01;https://twitter.com/#!/sasmeijer/status/1388841006624350214;;;1388841006624350214;
judithdoetmaar;rudybouma;;;;;;;;;;;;;Mentions;2-5-2021 13:01;RT @rudybouma: Baudet's bron is een #QAnon-aanhangster die gelooft in een satanische, pedofiele, bloeddrinkende elite. Ze noemt ook Obama e…;;;qanon;2-5-2021 13:01;https://twitter.com/#!/judithdoetmaar/status/1388841158705623040;;;1388841158705623040;
ss5726;mog7546;;;;;;;;;;;;;Mentions;2-5-2021 13:03;"RT @mog7546: This is the fringiest of the fringe

#QAnon GOP Cultists Are Holding UV Lights To AZ Ballots Looking For Secret Watermarks

#M…";;;qanon;2-5-2021 13:03;https://twitter.com/#!/ss5726/status/1388841700408406019;;;1388841700408406019;
clarkturrent;dannymndz;;;;;;;;;;;;;Replies to;2-5-2021 13:07;@dannymndz Deja tu, yo tengo parientes cercanísimos que creen en #QAnon. Hazme el CH favor.;;;qanon;2-5-2021 13:07;https://twitter.com/#!/clarkturrent/status/1388842624975613952;;;1388842624975613952;1388800017800990724
