;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
heiiopapi;heiiopapi;;;;;;;;;;;;;Tweet;29-4-2021 11:52;Dit is hoe goed dualisme eruit ziet, take notes politiek! #notulendebat https://t.co/jEr6e1C4Su;;;notulendebat;29-4-2021 11:52;https://twitter.com/#!/heiiopapi/status/1387736630988005380;;;1387736630988005380;
esmachoho;esmachoho;;;;;;;;;;;;;Tweet;29-4-2021 11:52;Hoe zorgen we ervoor dat alle data die wij hier achterlaten veilig is? #ai #notulendebat https://t.co/UKupR29P8p;https://twitter.com/itu_aiforgood/status/1387076560499445766;twitter.com;ai notulendebat;29-4-2021 11:52;https://twitter.com/#!/esmachoho/status/1387736635538919425;;;1387736635538919425;
lanesa167;petervdlinde1;;;;;;;;;;;;;Mentions;29-4-2021 11:52;"RT @petervdlinde1: Heeft ze nou een 'oortje' in?

 #Hermans #VVD #ToeslagenDebat #NotulenDebat https://t.co/AQqlPfUFQJ";;;hermans vvd toeslagendebat notulendebat;29-4-2021 11:52;https://twitter.com/#!/lanesa167/status/1387736648100851715;;;1387736648100851715;
barendseted;barendseted;;;;;;;;;;;;;Tweet;29-4-2021 11:52;#jetten #kuiken #Hermans woordvoerders van het kabinet? Zoeken naar woorden om hun leiders af te schermen. Het land… https://t.co/mlorj8YgqM;https://twitter.com/i/web/status/1387736659337355265;twitter.com;jetten kuiken hermans;29-4-2021 11:52;https://twitter.com/#!/barendseted/status/1387736659337355265;;;1387736659337355265;
opnaarnormaal;opnaarnormaal;;;;;;;;;;;;;Tweet;29-4-2021 11:52;Ik kom er door werk pas net 20 min in. Zit mevrouw Hermans nu op het toilet te huilen...? En ook een open houding v… https://t.co/Fx4PxyOLyq;https://twitter.com/i/web/status/1387736666857562115;twitter.com;;29-4-2021 11:52;https://twitter.com/#!/opnaarnormaal/status/1387736666857562115;;;1387736666857562115;
bloemenmeisje5;renskeleijten;;;;;;;;;;;;;Mentions;29-4-2021 11:53;"RT @NiemandsKnegt: #Notulendebat

Let wel, deze hartenkreten en woede uitbarstingen van @PieterOmtzigt en @RenskeLeijten vonden plaats op 1…";;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/bloemenmeisje5/status/1387736694577827840;;;1387736694577827840;
bloemenmeisje5;pieteromtzigt;;;;;;;;;;;;;Mentions;29-4-2021 11:53;"RT @NiemandsKnegt: #Notulendebat

Let wel, deze hartenkreten en woede uitbarstingen van @PieterOmtzigt en @RenskeLeijten vonden plaats op 1…";;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/bloemenmeisje5/status/1387736694577827840;;;1387736694577827840;
bloemenmeisje5;niemandsknegt;;;;;;;;;;;;;Mentions;29-4-2021 11:53;"RT @NiemandsKnegt: #Notulendebat

Let wel, deze hartenkreten en woede uitbarstingen van @PieterOmtzigt en @RenskeLeijten vonden plaats op 1…";;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/bloemenmeisje5/status/1387736694577827840;;;1387736694577827840;
jweensen;lientje1967;;;;;;;;;;;;;Mentions;29-4-2021 11:53;Zo scherp als een mes door de Hollandse boter. Doe zo voort! @lientje1967 #notulendebat;;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/jweensen/status/1387736714131673090;;;1387736714131673090;
badprutt;melle_schouten;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @melle_schouten: Ik denk dat het vrij duidelijk is geworden waarom de voorzitter van de Tweede Kamer niet van een coalitiepartij moet zi…;;;;29-4-2021 11:53;https://twitter.com/#!/badprutt/status/1387736723891818496;;;1387736723891818496;
inameuzelaar;inameuzelaar;;;;;;;;;;;;;Tweet;29-4-2021 11:53;Kuik maakt in haar antwoorden regelmatig gebruik van een neerbuigend toontje. Niet prettig #debat #notulendebat;;;debat notulendebat;29-4-2021 11:53;https://twitter.com/#!/inameuzelaar/status/1387736749267374090;;;1387736749267374090;
fradeealex;vvd;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @PostmaOne: #notulendebat beschamend hoe de woordvoerders van @cdavandaag en @VVD de waarheid niet willen/mogen(?)  benoemen.;;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/fradeealex/status/1387736752685821953;;;1387736752685821953;
fradeealex;cdavandaag;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @PostmaOne: #notulendebat beschamend hoe de woordvoerders van @cdavandaag en @VVD de waarheid niet willen/mogen(?)  benoemen.;;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/fradeealex/status/1387736752685821953;;;1387736752685821953;
fradeealex;postmaone;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @PostmaOne: #notulendebat beschamend hoe de woordvoerders van @cdavandaag en @VVD de waarheid niet willen/mogen(?)  benoemen.;;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/fradeealex/status/1387736752685821953;;;1387736752685821953;
