;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
kobus55163188;dnb_nl;;;;;;;;;;;;;Mentions;21-4-2021 16:57;@ByLiathroid @WBHoekstra @Het_OM @ABNAMRO @DNB_NL En #Baudet natuurlijk maar dat om andere redenen. #wappie;;;baudet wappie;21-4-2021 16:57;https://twitter.com/#!/kobus55163188/status/1384914232022556674;;;1384914232022556674;1384913833727299592
kobus55163188;abnamro;;;;;;;;;;;;;Mentions;21-4-2021 16:57;@ByLiathroid @WBHoekstra @Het_OM @ABNAMRO @DNB_NL En #Baudet natuurlijk maar dat om andere redenen. #wappie;;;baudet wappie;21-4-2021 16:57;https://twitter.com/#!/kobus55163188/status/1384914232022556674;;;1384914232022556674;1384913833727299592
kobus55163188;het_om;;;;;;;;;;;;;Mentions;21-4-2021 16:57;@ByLiathroid @WBHoekstra @Het_OM @ABNAMRO @DNB_NL En #Baudet natuurlijk maar dat om andere redenen. #wappie;;;baudet wappie;21-4-2021 16:57;https://twitter.com/#!/kobus55163188/status/1384914232022556674;;;1384914232022556674;1384913833727299592
kobus55163188;wbhoekstra;;;;;;;;;;;;;Mentions;21-4-2021 16:57;@ByLiathroid @WBHoekstra @Het_OM @ABNAMRO @DNB_NL En #Baudet natuurlijk maar dat om andere redenen. #wappie;;;baudet wappie;21-4-2021 16:57;https://twitter.com/#!/kobus55163188/status/1384914232022556674;;;1384914232022556674;1384913833727299592
kobus55163188;byliathroid;;;;;;;;;;;;;Replies to;21-4-2021 16:57;@ByLiathroid @WBHoekstra @Het_OM @ABNAMRO @DNB_NL En #Baudet natuurlijk maar dat om andere redenen. #wappie;;;baudet wappie;21-4-2021 16:57;https://twitter.com/#!/kobus55163188/status/1384914232022556674;;;1384914232022556674;1384913833727299592
olifant;jokierotterdam;;;;;;;;;;;;;Mentions;21-4-2021 17:10;@Wonders_Always @jokierotterdam Denk er maar #wappie achter;;;wappie;21-4-2021 17:10;https://twitter.com/#!/olifant/status/1384917366124040193;;;1384917366124040193;1384917242115198985
olifant;wonders_always;;;;;;;;;;;;;Replies to;21-4-2021 17:10;@Wonders_Always @jokierotterdam Denk er maar #wappie achter;;;wappie;21-4-2021 17:10;https://twitter.com/#!/olifant/status/1384917366124040193;;;1384917366124040193;1384917242115198985
singlesignon;willem_engel;;;;;;;;;;;;;Mentions;21-4-2021 17:23;@harryhol @willem_engel Damn dus van die duizenden mensen die hier reageren krijgt hij alleen van mij een notificat… https://t.co/4X8AGnSw5o;https://twitter.com/i/web/status/1384920672426766336;twitter.com;;21-4-2021 17:23;https://twitter.com/#!/singlesignon/status/1384920672426766336;;;1384920672426766336;1384818352263159813
singlesignon;harryhol;;;;;;;;;;;;;Replies to;21-4-2021 17:23;@harryhol @willem_engel Damn dus van die duizenden mensen die hier reageren krijgt hij alleen van mij een notificat… https://t.co/4X8AGnSw5o;https://twitter.com/i/web/status/1384920672426766336;twitter.com;;21-4-2021 17:23;https://twitter.com/#!/singlesignon/status/1384920672426766336;;;1384920672426766336;1384818352263159813
rotterdam_rutu;rotterdam_rutu;;;;;;;;;;;;;Tweet;21-4-2021 18:15;Of zijn we gewoon super kritisch ? #Gemeenschap #facebookisheilig #we #wappie #leugens https://t.co/aQVsFMXcqk;;;gemeenschap facebookisheilig we wappie leugens;21-4-2021 18:15;https://twitter.com/#!/rotterdam_rutu/status/1384933745711583237;;;1384933745711583237;
