;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
dongamaurits;annaevaevaeva;;;;;;;;;;194;;;Mentions;28-4-2021 16:57;@toeret10 @erpenterig @AnnaEvaevaeva @DonArturito Nou,  dan hebben ze verkeerd gestemd,  want het is GroenLinks… https://t.co/B9xEGf2MIw;https://twitter.com/i/web/status/1387450836687667202;twitter.com;;28-4-2021 16:57;https://twitter.com/#!/dongamaurits/status/1387450836687667202;;;1387450836687667202;1387450525373931520
dongamaurits;erpenterig;;;;;;;;;;195;;;Mentions;28-4-2021 16:57;@toeret10 @erpenterig @AnnaEvaevaeva @DonArturito Nou,  dan hebben ze verkeerd gestemd,  want het is GroenLinks… https://t.co/B9xEGf2MIw;https://twitter.com/i/web/status/1387450836687667202;twitter.com;;28-4-2021 16:57;https://twitter.com/#!/dongamaurits/status/1387450836687667202;;;1387450836687667202;1387450525373931520
dongamaurits;toeret10;;;;;;;;;;196;;;Replies to;28-4-2021 16:57;@toeret10 @erpenterig @AnnaEvaevaeva @DonArturito Nou,  dan hebben ze verkeerd gestemd,  want het is GroenLinks… https://t.co/B9xEGf2MIw;https://twitter.com/i/web/status/1387450836687667202;twitter.com;;28-4-2021 16:57;https://twitter.com/#!/dongamaurits/status/1387450836687667202;;;1387450836687667202;1387450525373931520
sigfridvshrink;globalistaa;;;;;;;;;;197;;;Mentions;27-4-2021 14:36;@Roald1976 @globalistaa Op Urk zijn in een weektijd bijna net zoveel corona-doden gevallen als in de hele provincie… https://t.co/5z1SGYH1YY;https://twitter.com/i/web/status/1387053142483750920;twitter.com;;27-4-2021 14:36;https://twitter.com/#!/sigfridvshrink/status/1387053142483750920;;;1387053142483750920;1387038198417682436
sigfridvshrink;roald1976;;;;;;;;;;198;;;Replies to;27-4-2021 14:36;@Roald1976 @globalistaa Op Urk zijn in een weektijd bijna net zoveel corona-doden gevallen als in de hele provincie… https://t.co/5z1SGYH1YY;https://twitter.com/i/web/status/1387053142483750920;twitter.com;;27-4-2021 14:36;https://twitter.com/#!/sigfridvshrink/status/1387053142483750920;;;1387053142483750920;1387038198417682436
sigfridvshrink;rolandbouman;;;;;;;;;;199;;;Mentions;28-4-2021 16:15;@ThatsABlackbird @PizzaEnZo_nl @rolandbouman Hoi Zwarte Schaap, ik heb zojuist een collega verpleegkundige uit het… https://t.co/ptIQ0JeJgn;https://twitter.com/i/web/status/1387440281977556998;twitter.com;;28-4-2021 16:15;https://twitter.com/#!/sigfridvshrink/status/1387440281977556998;;;1387440281977556998;1387364748820418564
sigfridvshrink;pizzaenzo_nl;;;;;;;;;;200;;;Mentions;28-4-2021 16:15;@ThatsABlackbird @PizzaEnZo_nl @rolandbouman Hoi Zwarte Schaap, ik heb zojuist een collega verpleegkundige uit het… https://t.co/ptIQ0JeJgn;https://twitter.com/i/web/status/1387440281977556998;twitter.com;;28-4-2021 16:15;https://twitter.com/#!/sigfridvshrink/status/1387440281977556998;;;1387440281977556998;1387364748820418564
sigfridvshrink;thatsablackbird;;;;;;;;;;201;;;Replies to;28-4-2021 16:15;@ThatsABlackbird @PizzaEnZo_nl @rolandbouman Hoi Zwarte Schaap, ik heb zojuist een collega verpleegkundige uit het… https://t.co/ptIQ0JeJgn;https://twitter.com/i/web/status/1387440281977556998;twitter.com;;28-4-2021 16:15;https://twitter.com/#!/sigfridvshrink/status/1387440281977556998;;;1387440281977556998;1387364748820418564
sigfridvshrink;eriswatmis;;;;;;;;;;202;;;Replies to;28-4-2021 17:52;"@Eriswatmis Doe de volgende keer je eigen onderzoek #wappie 🤪
#quarantaineplicht https://t.co/EODv6lZQif";;;wappie quarantaineplicht;28-4-2021 17:52;https://twitter.com/#!/sigfridvshrink/status/1387464761034608642;;;1387464761034608642;1387447375489290243
groot_ernest;meredithgreer;;;;;;;;;;203;;;Replies to;28-4-2021 18:45;@MeredithGreer Bij een vrouw die niet in de menopauze zit, varieert de normale pH-waarde van de vagina tussen 3,8 e… https://t.co/1ZdURmmL1f;https://twitter.com/i/web/status/1387478179879825417;twitter.com;;28-4-2021 18:45;https://twitter.com/#!/groot_ernest/status/1387478179879825417;;;1387478179879825417;1387377487554961412
densnij;ellenboersma;;;;;;;;;;204;;;Replies to;28-4-2021 09:35;@ellenboersma Verwijs naar @thierrybaudet , lekker #Corona in het ziekenhuis als ook een #Wappie;;;corona wappie;28-4-2021 09:35;https://twitter.com/#!/densnij/status/1387339733517447168;;;1387339733517447168;1387291157957316612
densnij;douwpien;;;;;;;;;;205;;;Mentions;28-4-2021 18:53;@Justsay22898574 @DouwPien Aldus #KArma #Covid #Wappie the force created by a person's actions that some people bel… https://t.co/8cbMyIvN4r;https://twitter.com/i/web/status/1387480200724848645;twitter.com;karma covid wappie;28-4-2021 18:53;https://twitter.com/#!/densnij/status/1387480200724848645;;;1387480200724848645;1387457715174313990
densnij;justsay22898574;;;;;;;;;;206;;;Replies to;28-4-2021 18:53;@Justsay22898574 @DouwPien Aldus #KArma #Covid #Wappie the force created by a person's actions that some people bel… https://t.co/8cbMyIvN4r;https://twitter.com/i/web/status/1387480200724848645;twitter.com;karma covid wappie;28-4-2021 18:53;https://twitter.com/#!/densnij/status/1387480200724848645;;;1387480200724848645;1387457715174313990
densnij;thierrybaudet;;;;;;;;;;207;;;Mentions;28-4-2021 09:35;@ellenboersma Verwijs naar @thierrybaudet , lekker #Corona in het ziekenhuis als ook een #Wappie;;;corona wappie;28-4-2021 09:35;https://twitter.com/#!/densnij/status/1387339733517447168;;;1387339733517447168;1387291157957316612
nnv13602245;nieuwsuur;;;;;;;;;;208;;;Replies to;28-4-2021 19:02;@Nieuwsuur #wappie huhuhhh;;;wappie;28-4-2021 19:02;https://twitter.com/#!/nnv13602245/status/1387482286350901256;;;1387482286350901256;1387479055658782725
muziekschuur;fransje53229178;;;;;;;;;;209;;;Mentions;28-4-2021 19:18;"RT @Fransje53229178: En dan zijn er 🐑🐑🐑 die mekkeren dat je een #wappie bent.....
#complot_denker

https://t.co/vBLDJzlqyI";https://eindtijdnieuws.com/breaking-news-na-medische-analyse-pcr-tests-blijken-hulpmiddel-te-zijn-voor-genocide/;eindtijdnieuws.com;wappie complot_denker;28-4-2021 19:18;https://twitter.com/#!/muziekschuur/status/1387486441882718209;;;1387486441882718209;
sayno08595988;fransje53229178;;;;;;;;;;210;;;Mentions;28-4-2021 20:04;"RT @Fransje53229178: En dan zijn er 🐑🐑🐑 die mekkeren dat je een #wappie bent.....
#complot_denker

https://t.co/vBLDJzlqyI";https://eindtijdnieuws.com/breaking-news-na-medische-analyse-pcr-tests-blijken-hulpmiddel-te-zijn-voor-genocide/;eindtijdnieuws.com;wappie complot_denker;28-4-2021 20:04;https://twitter.com/#!/sayno08595988/status/1387498010591043586;;;1387498010591043586;
nieuwedagenkans;nieuwedagenkans;;;;;;;;;;211;;;Tweet;28-4-2021 20:14;Grappig dat al die protestgekkies (hersenlozen en ontspoorden) voor de vrijheid nergens te bekennen zijn op straat.… https://t.co/ylSntKvQmi;https://twitter.com/i/web/status/1387500455517990913;twitter.com;;28-4-2021 20:14;https://twitter.com/#!/nieuwedagenkans/status/1387500455517990913;;;1387500455517990913;
pauline1h;fransje53229178;;;;;;;;;;212;;;Mentions;28-4-2021 20:17;"RT @Fransje53229178: En dan zijn er 🐑🐑🐑 die mekkeren dat je een #wappie bent.....
#complot_denker

https://t.co/vBLDJzlqyI";https://eindtijdnieuws.com/breaking-news-na-medische-analyse-pcr-tests-blijken-hulpmiddel-te-zijn-voor-genocide/;eindtijdnieuws.com;wappie complot_denker;28-4-2021 20:17;https://twitter.com/#!/pauline1h/status/1387501130268266503;;;1387501130268266503;
ogssie;fransje53229178;;;;;;;;;;213;;;Mentions;28-4-2021 20:23;"RT @Fransje53229178: En dan zijn er 🐑🐑🐑 die mekkeren dat je een #wappie bent.....
#complot_denker

https://t.co/vBLDJzlqyI";https://eindtijdnieuws.com/breaking-news-na-medische-analyse-pcr-tests-blijken-hulpmiddel-te-zijn-voor-genocide/;eindtijdnieuws.com;wappie complot_denker;28-4-2021 20:23;https://twitter.com/#!/ogssie/status/1387502634052030465;;;1387502634052030465;
leviath29846145;fransje53229178;;;;;;;;;;214;;;Mentions;28-4-2021 20:37;"RT @Fransje53229178: En dan zijn er 🐑🐑🐑 die mekkeren dat je een #wappie bent.....
#complot_denker

https://t.co/vBLDJzlqyI";https://eindtijdnieuws.com/breaking-news-na-medische-analyse-pcr-tests-blijken-hulpmiddel-te-zijn-voor-genocide/;eindtijdnieuws.com;wappie complot_denker;28-4-2021 20:37;https://twitter.com/#!/leviath29846145/status/1387506269184040965;;;1387506269184040965;
gertjdejong;marcvegt;;;;;;;;;;215;;;Mentions;28-4-2021 20:47;RT @CarolineVonhoff: @MarcVegt Weet je vast al, maar hier pleitnota Hof van mijn mede-#wappie Jeroen Pols. Eén van de laatste Nederlanders…;;;wappie;28-4-2021 20:47;https://twitter.com/#!/gertjdejong/status/1387508782587170819;;;1387508782587170819;
gertjdejong;carolinevonhoff;;;;;;;;;;216;;;Mentions;28-4-2021 20:47;RT @CarolineVonhoff: @MarcVegt Weet je vast al, maar hier pleitnota Hof van mijn mede-#wappie Jeroen Pols. Eén van de laatste Nederlanders…;;;wappie;28-4-2021 20:47;https://twitter.com/#!/gertjdejong/status/1387508782587170819;;;1387508782587170819;
tacticaltwitman;nasipils;;;;;;;;;;217;;;Mentions;28-4-2021 20:48;"RT @NasiPils: TIJDELIJK... JA JA... 

Dit #wappie zegt:
Tijd voor nieuwe verkiezingen!

#Stemzeweg #Covidhoax

RT PLS!! https://t.co/JN1glc…";;;wappie stemzeweg covidhoax;28-4-2021 20:48;https://twitter.com/#!/tacticaltwitman/status/1387508969531392000;;;1387508969531392000;
gielah;fransje53229178;;;;;;;;;;218;;;Mentions;28-4-2021 20:50;"RT @Fransje53229178: En dan zijn er 🐑🐑🐑 die mekkeren dat je een #wappie bent.....
#complot_denker

https://t.co/vBLDJzlqyI";https://eindtijdnieuws.com/breaking-news-na-medische-analyse-pcr-tests-blijken-hulpmiddel-te-zijn-voor-genocide/;eindtijdnieuws.com;wappie complot_denker;28-4-2021 20:50;https://twitter.com/#!/gielah/status/1387509654373163011;;;1387509654373163011;
alalesss;beaurtl;;;;;;;;;;219;;;Mentions;28-4-2021 21:11;RT @PPeijnenburg: @BeauRTL 10-0 voor de #wappie;;;wappie;28-4-2021 21:11;https://twitter.com/#!/alalesss/status/1387514736095502336;;;1387514736095502336;
alalesss;ppeijnenburg;;;;;;;;;;220;;;Mentions;28-4-2021 21:11;RT @PPeijnenburg: @BeauRTL 10-0 voor de #wappie;;;wappie;28-4-2021 21:11;https://twitter.com/#!/alalesss/status/1387514736095502336;;;1387514736095502336;
kevbrijer;nasipils;;;;;;;;;;221;;;Mentions;28-4-2021 21:11;"RT @NasiPils: TIJDELIJK... JA JA... 

Dit #wappie zegt:
Tijd voor nieuwe verkiezingen!

#Stemzeweg #Covidhoax

RT PLS!!";;;wappie stemzeweg covidhoax;28-4-2021 21:11;https://twitter.com/#!/kevbrijer/status/1387514759424233472;;;1387514759424233472;
bart28503033;youtube;;;;;;;;;;222;;;Mentions;28-4-2021 21:25;"Sunclub - Single Minded People https://t.co/6ycMEHaCLI via @YouTube 

#lockdown  #wappie #PoliceBrutality";https://youtu.be/-BEnFy9C6lQ;youtu.be;lockdown wappie policebrutality;28-4-2021 21:25;https://twitter.com/#!/bart28503033/status/1387518257066921993;;;1387518257066921993;
orwell84_;youpvanthek;;;;;;;;;;223;;;Mentions;28-4-2021 21:30;@Polennieuwsnl @Politie @youpvanthek Dat kan zijn en Youp kan soms wel een ouwe zure #boomer zijn maar dit werkje v… https://t.co/suxAPJlOCO;https://twitter.com/i/web/status/1387519493375672321;twitter.com;boomer;28-4-2021 21:30;https://twitter.com/#!/orwell84_/status/1387519493375672321;;;1387519493375672321;1387515467066220546
orwell84_;politie;;;;;;;;;;224;;;Mentions;28-4-2021 20:30;@Polennieuwsnl @Politie En als je een definitie zoekt voor een #wappie verwijs ik je graag naar het werk van… https://t.co/o8JJkEHAVk;https://twitter.com/i/web/status/1387504519781785601;twitter.com;wappie;28-4-2021 20:30;https://twitter.com/#!/orwell84_/status/1387504519781785601;;;1387504519781785601;1387496700374290434
orwell84_;politie;;;;;;;;;;225;;;Mentions;28-4-2021 21:30;@Polennieuwsnl @Politie @youpvanthek Dat kan zijn en Youp kan soms wel een ouwe zure #boomer zijn maar dit werkje v… https://t.co/suxAPJlOCO;https://twitter.com/i/web/status/1387519493375672321;twitter.com;boomer;28-4-2021 21:30;https://twitter.com/#!/orwell84_/status/1387519493375672321;;;1387519493375672321;1387515467066220546
orwell84_;polennieuwsnl;;;;;;;;;;226;;;Replies to;28-4-2021 20:30;@Polennieuwsnl @Politie En als je een definitie zoekt voor een #wappie verwijs ik je graag naar het werk van… https://t.co/o8JJkEHAVk;https://twitter.com/i/web/status/1387504519781785601;twitter.com;wappie;28-4-2021 20:30;https://twitter.com/#!/orwell84_/status/1387504519781785601;;;1387504519781785601;1387496700374290434
orwell84_;polennieuwsnl;;;;;;;;;;227;;;Replies to;28-4-2021 21:30;@Polennieuwsnl @Politie @youpvanthek Dat kan zijn en Youp kan soms wel een ouwe zure #boomer zijn maar dit werkje v… https://t.co/suxAPJlOCO;https://twitter.com/i/web/status/1387519493375672321;twitter.com;boomer;28-4-2021 21:30;https://twitter.com/#!/orwell84_/status/1387519493375672321;;;1387519493375672321;1387515467066220546
wolf_egbert;hugodejonge;;;;;;;;;;228;;;Replies to;28-4-2021 21:37;@hugodejonge een testbewijs wanneer je bent ingeënt? Huh? Wat is dat nou weer voor #wappie actie? Waarom inenten da… https://t.co/r7zvRGAHQ3;https://twitter.com/i/web/status/1387521469572341764;twitter.com;wappie;28-4-2021 21:37;https://twitter.com/#!/wolf_egbert/status/1387521469572341764;;;1387521469572341764;
jaaprog1;wierdduk;;;;;;;;;;229;;;Mentions;28-4-2021 21:39;"Daar zou @wierdduk ook wel eens naar kunnen luisteren. 
“De ‘voorspellende’ gave (opgedaan uit onderzoek) 
van de… https://t.co/ezPFWuzLH6";https://twitter.com/i/web/status/1387521975069855745;twitter.com;;28-4-2021 21:39;https://twitter.com/#!/jaaprog1/status/1387521975069855745;;;1387521975069855745;
look_furter;wimjmvoermans;;;;;;;;;;230;;;Replies to;28-4-2021 22:30;@wimjmvoermans Hier verbaasd over zijn,  vind ik verbazingwekkend. Lag helemaal in lijn der verwachtingen. Je moet… https://t.co/bIngKw6aRH;https://twitter.com/i/web/status/1387534685501337601;twitter.com;;28-4-2021 22:30;https://twitter.com/#!/look_furter/status/1387534685501337601;;;1387534685501337601;1387340726283952129
aluhoedje33;oldgeez11927996;;;;;;;;;;231;;;Mentions;28-4-2021 22:33;"@Mona1070542 @OldGeez11927996 @BeauRTL Jep.
Zet ‘m op! 💪🏼🍀

(Diep van binnen is 90% van de mensen een #wappie 😉)";;;wappie;28-4-2021 22:33;https://twitter.com/#!/aluhoedje33/status/1387535556196831235;;;1387535556196831235;1387535159914909704
aluhoedje33;mona1070542;;;;;;;;;;232;;;Replies to;28-4-2021 22:33;"@Mona1070542 @OldGeez11927996 @BeauRTL Jep.
Zet ‘m op! 💪🏼🍀

(Diep van binnen is 90% van de mensen een #wappie 😉)";;;wappie;28-4-2021 22:33;https://twitter.com/#!/aluhoedje33/status/1387535556196831235;;;1387535556196831235;1387535159914909704
aluhoedje33;beaurtl;;;;;;;;;;233;;;Mentions;28-4-2021 22:33;"@Mona1070542 @OldGeez11927996 @BeauRTL Jep.
Zet ‘m op! 💪🏼🍀

(Diep van binnen is 90% van de mensen een #wappie 😉)";;;wappie;28-4-2021 22:33;https://twitter.com/#!/aluhoedje33/status/1387535556196831235;;;1387535556196831235;1387535159914909704
chielsin;chielsin;;;;;;;;;;234;;;Tweet;29-4-2021 00:39;zomaar wat random #wappie koffietafel praat - van experts... https://t.co/qV85zbgXZM;;;wappie;29-4-2021 00:39;https://twitter.com/#!/chielsin/status/1387567163301576713;;;1387567163301576713;
ghostri11397244;ronpeppenster;;;;;;;;;;235;;;Mentions;29-4-2021 04:01;@Gaia_Universe @RonPeppenster Knap draadje dit... Stelletje half tammen. Er is geen experiment. Geen 5G. Geen reset. Get help.  #WAPPIE;;;wappie;29-4-2021 04:01;https://twitter.com/#!/ghostri11397244/status/1387617938786635776;;;1387617938786635776;1387533836918169603
ghostri11397244;gaia_universe;;;;;;;;;;236;;;Replies to;29-4-2021 04:01;@Gaia_Universe @RonPeppenster Knap draadje dit... Stelletje half tammen. Er is geen experiment. Geen 5G. Geen reset. Get help.  #WAPPIE;;;wappie;29-4-2021 04:01;https://twitter.com/#!/ghostri11397244/status/1387617938786635776;;;1387617938786635776;1387533836918169603
kingmanet;kingmanet;;;;;;;;;;237;;;Tweet;29-4-2021 04:45;Ik weet nog dat ik werd uitgemaakt voor #wappie omdat ik tegen de #avondklok was. Puur omdat ik ernstige twijfels h… https://t.co/yk51JoXkny;https://twitter.com/i/web/status/1387629201163960320;twitter.com;wappie avondklok;29-4-2021 04:45;https://twitter.com/#!/kingmanet/status/1387629201163960320;;;1387629201163960320;
wizard_sky;wizard_sky;;;;;;;;;;238;;;Tweet;29-4-2021 04:47;"Weer hebben de 'wappies' gelijk!
Wat zijn ze toch erg slim dat ze dit continu een jaar van tevoren weten allemaal.… https://t.co/oJ8V8RnpD1";https://twitter.com/i/web/status/1387629623744339969;twitter.com;;29-4-2021 04:47;https://twitter.com/#!/wizard_sky/status/1387629623744339969;;;1387629623744339969;
ajaxofiel;ajaxofiel;;;;;;;;;;239;;;Tweet;29-4-2021 05:16;Als je wil dat een grafiek tegelijk oploopt dan gebruik je toch gewoon een grafiek met links en rechts totaal versc… https://t.co/t3KlczlNY5;https://twitter.com/i/web/status/1387636782381076482;twitter.com;;29-4-2021 05:16;https://twitter.com/#!/ajaxofiel/status/1387636782381076482;;;1387636782381076482;
cohenos;gavimensch;;;;;;;;;;240;;;Mentions;29-4-2021 05:23;@ReinBijlsma @GaviMensch Even de timeline van haar bekeken. Triest mens. Geen aandacht geven. #wappie;;;wappie;29-4-2021 05:23;https://twitter.com/#!/cohenos/status/1387638746779197444;;;1387638746779197444;1387638457401499648
cohenos;reinbijlsma;;;;;;;;;;241;;;Replies to;29-4-2021 05:23;@ReinBijlsma @GaviMensch Even de timeline van haar bekeken. Triest mens. Geen aandacht geven. #wappie;;;wappie;29-4-2021 05:23;https://twitter.com/#!/cohenos/status/1387638746779197444;;;1387638746779197444;1387638457401499648
dorpjanvan;gozewijnaj;;;;;;;;;;242;;;Mentions;29-4-2021 06:03;"RT @GozewijnAJ: Iets wat normaal nadenkende burgers al van te voren zeiden.
Maar ja dan ben je #wappie hè !

Kuipers: avondklok heeft geen…";;;wappie;29-4-2021 06:03;https://twitter.com/#!/dorpjanvan/status/1387648646284550145;;;1387648646284550145;
johnnybg19;marcvegt;;;;;;;;;;243;;;Mentions;28-4-2021 20:46;RT @CarolineVonhoff: @MarcVegt Weet je vast al, maar hier pleitnota Hof van mijn mede-#wappie Jeroen Pols. Eén van de laatste Nederlanders…;;;wappie;28-4-2021 20:46;https://twitter.com/#!/johnnybg19/status/1387508663687028740;;;1387508663687028740;
johnnybg19;carolinevonhoff;;;;;;;;;;244;;;Mentions;28-4-2021 20:46;RT @CarolineVonhoff: @MarcVegt Weet je vast al, maar hier pleitnota Hof van mijn mede-#wappie Jeroen Pols. Eén van de laatste Nederlanders…;;;wappie;28-4-2021 20:46;https://twitter.com/#!/johnnybg19/status/1387508663687028740;;;1387508663687028740;
mark_segunda;johnnybg19;;;;;;;;;;245;;;Mentions;29-4-2021 06:33;@rivliv @LadyAliceWhite @Repelsteeltje21 @JohnnyBG19 Nice, vind het wel een geuzennaam, beter dan #Wappie.;;;wappie;29-4-2021 06:33;https://twitter.com/#!/mark_segunda/status/1387656308355178497;;;1387656308355178497;1387511812963377157
mark_segunda;repelsteeltje21;;;;;;;;;;246;;;Mentions;29-4-2021 06:33;@rivliv @LadyAliceWhite @Repelsteeltje21 @JohnnyBG19 Nice, vind het wel een geuzennaam, beter dan #Wappie.;;;wappie;29-4-2021 06:33;https://twitter.com/#!/mark_segunda/status/1387656308355178497;;;1387656308355178497;1387511812963377157
mark_segunda;ladyalicewhite;;;;;;;;;;247;;;Mentions;29-4-2021 06:33;@rivliv @LadyAliceWhite @Repelsteeltje21 @JohnnyBG19 Nice, vind het wel een geuzennaam, beter dan #Wappie.;;;wappie;29-4-2021 06:33;https://twitter.com/#!/mark_segunda/status/1387656308355178497;;;1387656308355178497;1387511812963377157
mark_segunda;nasipils;;;;;;;;;;248;;;Mentions;28-4-2021 20:48;"RT @NasiPils: TIJDELIJK... JA JA... 

Dit #wappie zegt:
Tijd voor nieuwe verkiezingen!

#Stemzeweg #Covidhoax

RT PLS!!";;;wappie stemzeweg covidhoax;28-4-2021 20:48;https://twitter.com/#!/mark_segunda/status/1387509013160632324;;;1387509013160632324;
mark_segunda;rivliv;;;;;;;;;;249;;;Replies to;29-4-2021 06:33;@rivliv @LadyAliceWhite @Repelsteeltje21 @JohnnyBG19 Nice, vind het wel een geuzennaam, beter dan #Wappie.;;;wappie;29-4-2021 06:33;https://twitter.com/#!/mark_segunda/status/1387656308355178497;;;1387656308355178497;1387511812963377157
abelatty_;gozewijnaj;;;;;;;;;;250;;;Mentions;29-4-2021 06:39;"RT @GozewijnAJ: Iets wat normaal nadenkende burgers al van te voren zeiden.
Maar ja dan ben je #wappie hè !

Kuipers: avondklok heeft geen…";;;wappie;29-4-2021 06:39;https://twitter.com/#!/abelatty_/status/1387657855516483587;;;1387657855516483587;
hofmeister660l;gozewijnaj;;;;;;;;;;251;;;Mentions;29-4-2021 06:44;"RT @GozewijnAJ: Iets wat normaal nadenkende burgers al van te voren zeiden.
Maar ja dan ben je #wappie hè !

Kuipers: avondklok heeft geen…";;;wappie;29-4-2021 06:44;https://twitter.com/#!/hofmeister660l/status/1387659085672243207;;;1387659085672243207;
markdehollander;ron_rutgers;;;;;;;;;;252;;;Mentions;29-4-2021 06:50;"RT @Ron_Rutgers: De #avondklok.
Een ongecontroleerd experiment zonder enig effect!

Nee niet de woorden van deze #Wappie, maar wel van ""Spe…";;;avondklok wappie;29-4-2021 06:50;https://twitter.com/#!/markdehollander/status/1387660504097824769;;;1387660504097824769;
maartjestweets;ferenc58803983;;;;;;;;;;253;;;Mentions;29-4-2021 06:43;"RT @Ferenc58803983: Het demissionaire kabinet zal de ""tijdelijke"" noodwet na 1 juni ook willen handhaven, we zijn immers nog niet uit de cr…";;;;29-4-2021 06:43;https://twitter.com/#!/maartjestweets/status/1387658893636034562;;;1387658893636034562;
maartjestweets;fransje53229178;;;;;;;;;;254;;;Mentions;29-4-2021 05:46;"RT @Fransje53229178: En dan zijn er 🐑🐑🐑 die mekkeren dat je een #wappie bent.....
#complot_denker

https://t.co/vBLDJzlqyI";https://eindtijdnieuws.com/breaking-news-na-medische-analyse-pcr-tests-blijken-hulpmiddel-te-zijn-voor-genocide/;eindtijdnieuws.com;wappie complot_denker;29-4-2021 05:46;https://twitter.com/#!/maartjestweets/status/1387644317909622784;;;1387644317909622784;
maartjestweets;rprive1;;;;;;;;;;255;;;Mentions;29-4-2021 05:47;RT @Rprive1: He, een #merkteken om gevaccineerden en ongevaccineerden te scheiden. Mijn #wappie theorieën zijn nu echt bijna allemaal waar.;;;merkteken wappie;29-4-2021 05:47;https://twitter.com/#!/maartjestweets/status/1387644627537309697;;;1387644627537309697;
maartjestweets;marcvegt;;;;;;;;;;256;;;Mentions;29-4-2021 06:43;RT @CarolineVonhoff: @MarcVegt Weet je vast al, maar hier pleitnota Hof van mijn mede-#wappie Jeroen Pols. Eén van de laatste Nederlanders…;;;wappie;29-4-2021 06:43;https://twitter.com/#!/maartjestweets/status/1387658838338375687;;;1387658838338375687;
maartjestweets;carolinevonhoff;;;;;;;;;;257;;;Mentions;29-4-2021 06:43;RT @CarolineVonhoff: @MarcVegt Weet je vast al, maar hier pleitnota Hof van mijn mede-#wappie Jeroen Pols. Eén van de laatste Nederlanders…;;;wappie;29-4-2021 06:43;https://twitter.com/#!/maartjestweets/status/1387658838338375687;;;1387658838338375687;
maartjestweets;cazzick;;;;;;;;;;258;;;Mentions;29-4-2021 06:50;RT @cazzick: Je kan mensen die in angst leven alles, maar dan ook werkelijk alles, wijsmaken. En als je hier vragen over stelt, ben je een…;;;;29-4-2021 06:50;https://twitter.com/#!/maartjestweets/status/1387660466529394690;;;1387660466529394690;
maartjestweets;rprive1;;;;;;;;;;259;;;Mentions;29-4-2021 06:50;"RT @Rprive1: Hele gevaarlijke quote: ""als de patiënt geen test wil ondergaan moeten we ervan uitgaan dat hij positief is."" #Corona Ongezond…";;;corona;29-4-2021 06:50;https://twitter.com/#!/maartjestweets/status/1387660588923432960;;;1387660588923432960;
maartjestweets;marcvegt;;;;;;;;;;260;;;Mentions;29-4-2021 06:51;"RT @MarcVegt: Tja... een digitaal biometrisch paspoort met vaccins . #wappie !

https://t.co/apUc4ogNDV";https://www.biometricupdate.com/201909/id2020-and-partners-launch-program-to-provide-digital-id-with-vaccines;biometricupdate.com;wappie;29-4-2021 06:51;https://twitter.com/#!/maartjestweets/status/1387660672377446400;;;1387660672377446400;
hnkdvrs;ron_rutgers;;;;;;;;;;261;;;Mentions;29-4-2021 06:51;"RT @Ron_Rutgers: De #avondklok.
Een ongecontroleerd experiment zonder enig effect!

Nee niet de woorden van deze #Wappie, maar wel van ""Spe…";;;avondklok wappie;29-4-2021 06:51;https://twitter.com/#!/hnkdvrs/status/1387660682167001089;;;1387660682167001089;
moekidemeeuw;moekidemeeuw;;;;;;;;;;262;;;Tweet;29-4-2021 06:52;"Qua totalitaire maatregelen loopt Singapore een stukje voor op Nederland.
 👇 Huiveringwekkend draadje 👇
#avondklok… https://t.co/a1elWlpppR";https://twitter.com/i/web/status/1387661092202102787;twitter.com;avondklok;29-4-2021 06:52;https://twitter.com/#!/moekidemeeuw/status/1387661092202102787;;;1387661092202102787;
driveandgo2;driveandgo2;;;;;;;;;;263;;;Tweet;29-4-2021 06:59;#wappie de schaapjes zijn de nieuwe wappies. Goedgelovige wappies wel te verstaan!;;;wappie;29-4-2021 06:59;https://twitter.com/#!/driveandgo2/status/1387662819743735810;;;1387662819743735810;
michelvriese;marcvegt;;;;;;;;;;264;;;Mentions;29-4-2021 07:00;"RT @MarcVegt: Tja... een digitaal biometrisch paspoort met vaccins . #wappie !

https://t.co/apUc4ogNDV";https://www.biometricupdate.com/201909/id2020-and-partners-launch-program-to-provide-digital-id-with-vaccines;biometricupdate.com;wappie;29-4-2021 07:00;https://twitter.com/#!/michelvriese/status/1387663152192663552;;;1387663152192663552;
noeu13;hzwartemeer;;;;;;;;;;265;;;Mentions;29-4-2021 07:00;"RT @HZwartemeer: Om over de oceanen maar te zwijgen.

WIJ halen koolstof uit de lange koolstofkringloop waardoor de CO2-uitstoot gigantisch…";;;;29-4-2021 07:00;https://twitter.com/#!/noeu13/status/1387663076569329667;;;1387663076569329667;
