;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
springfishes;springfishes;;;;;;;;;;17;;;Tweet;26-4-2021 08:27;"Ergens in mei 2020 las ik: ""Pas goed op met die #mondkapjes, er kunnen #nano-stoffen in verwerkt zijn die slecht vo… https://t.co/KSr3a5cTei";https://twitter.com/i/web/status/1386597689148727296;twitter.com;mondkapjes nano;26-4-2021 08:27;https://twitter.com/#!/springfishes/status/1386597689148727296;;;1386597689148727296;
marcwoudstra;springfishes;;;;;;;;;;18;;;Mentions;26-4-2021 08:36;"RT @springfishes: Ergens in mei 2020 las ik: ""Pas goed op met die #mondkapjes, er kunnen #nano-stoffen in verwerkt zijn die slecht voor je…";;;mondkapjes nano;26-4-2021 08:36;https://twitter.com/#!/marcwoudstra/status/1386600156833927170;;;1386600156833927170;
iga312;iga312;;;;;;;;;;19;;;Tweet;26-4-2021 11:13;dodam hasztagi i bede tu bossem #wappie #COVID19 #Czarnek #LesbianVisibilityDay #BLACKPINK;;;wappie covid19 czarnek lesbianvisibilityday blackpink;26-4-2021 11:13;https://twitter.com/#!/iga312/status/1386639563095875587;;;1386639563095875587;
al_capsones;ramsterdamm;;;;;;;;;;20;;;Replies to;26-4-2021 11:24;"@Ramsterdamm #Wappie!

https://t.co/wDraUvmYFc";https://www.vi.nl/nieuws/ten-hag-noemt-haller-missing-link-voor-ajax;vi.nl;wappie;26-4-2021 11:24;https://twitter.com/#!/al_capsones/status/1386642409728139266;;;1386642409728139266;1386322326128635905
whoopster3;whoopster3;;;;;;;;;;21;;;Tweet;26-4-2021 12:03;Dussss #Wappie heeft altijd gelijk! https://t.co/GIZEx3jycP https://t.co/mXP0uKs7j8;https://twitter.com/EatlovePray11/status/1386403723648200708;twitter.com;wappie;26-4-2021 12:03;https://twitter.com/#!/whoopster3/status/1386652275796582402;;;1386652275796582402;
thx113812;beroepsvissers;;;;;;;;;;22;;;Mentions;26-4-2021 12:04;RT @beroepsvissers: Terwijl de effecten van al dat staal, de chemie, draaiende wieken, constante trillingen, aangepaste zeestromen en sedim…;;;;26-4-2021 12:04;https://twitter.com/#!/thx113812/status/1386652311624224768;;;1386652311624224768;
agapastoor;beroepsvissers;;;;;;;;;;23;;;Mentions;26-4-2021 12:15;RT @beroepsvissers: Terwijl de effecten van al dat staal, de chemie, draaiende wieken, constante trillingen, aangepaste zeestromen en sedim…;;;;26-4-2021 12:15;https://twitter.com/#!/agapastoor/status/1386655229412786179;;;1386655229412786179;
josedasouza1;beroepsvissers;;;;;;;;;;24;;;Mentions;26-4-2021 12:21;RT @beroepsvissers: Terwijl de effecten van al dat staal, de chemie, draaiende wieken, constante trillingen, aangepaste zeestromen en sedim…;;;;26-4-2021 12:21;https://twitter.com/#!/josedasouza1/status/1386656768059662339;;;1386656768059662339;
wilmaeertink;beroepsvissers;;;;;;;;;;25;;;Mentions;26-4-2021 12:27;RT @beroepsvissers: Terwijl de effecten van al dat staal, de chemie, draaiende wieken, constante trillingen, aangepaste zeestromen en sedim…;;;;26-4-2021 12:27;https://twitter.com/#!/wilmaeertink/status/1386658256513388546;;;1386658256513388546;
de_rixt;beroepsvissers;;;;;;;;;;26;;;Mentions;26-4-2021 12:56;RT @beroepsvissers: Terwijl de effecten van al dat staal, de chemie, draaiende wieken, constante trillingen, aangepaste zeestromen en sedim…;;;;26-4-2021 12:56;https://twitter.com/#!/de_rixt/status/1386665447861460996;;;1386665447861460996;
gquerci;beroepsvissers;;;;;;;;;;27;;;Mentions;26-4-2021 13:03;RT @beroepsvissers: Terwijl de effecten van al dat staal, de chemie, draaiende wieken, constante trillingen, aangepaste zeestromen en sedim…;;;;26-4-2021 13:03;https://twitter.com/#!/gquerci/status/1386667224266461186;;;1386667224266461186;
hvstexel;beroepsvissers;;;;;;;;;;28;;;Mentions;26-4-2021 13:15;RT @beroepsvissers: Terwijl de effecten van al dat staal, de chemie, draaiende wieken, constante trillingen, aangepaste zeestromen en sedim…;;;;26-4-2021 13:15;https://twitter.com/#!/hvstexel/status/1386670220425801735;;;1386670220425801735;
renedercksen;beroepsvissers;;;;;;;;;;29;;;Mentions;26-4-2021 13:23;RT @beroepsvissers: Terwijl de effecten van al dat staal, de chemie, draaiende wieken, constante trillingen, aangepaste zeestromen en sedim…;;;;26-4-2021 13:23;https://twitter.com/#!/renedercksen/status/1386672200116318209;;;1386672200116318209;
mirjamvriend;beroepsvissers;;;;;;;;;;30;;;Mentions;26-4-2021 13:31;RT @beroepsvissers: Terwijl de effecten van al dat staal, de chemie, draaiende wieken, constante trillingen, aangepaste zeestromen en sedim…;;;;26-4-2021 13:31;https://twitter.com/#!/mirjamvriend/status/1386674190187630594;;;1386674190187630594;
marcbroekland;mathijsbouman;;;;;;;;;;31;;;Mentions;26-4-2021 14:01;@HAWMMuilman @mathijsbouman Heb ik weer, standaard gedrag van een klimaatontkenner door niet in te gaan op de gegev… https://t.co/TlqkDSTOHt;https://twitter.com/i/web/status/1386681950975504388;twitter.com;;26-4-2021 14:01;https://twitter.com/#!/marcbroekland/status/1386681950975504388;;;1386681950975504388;1386678858921959429
marcbroekland;hawmmuilman;;;;;;;;;;32;;;Replies to;26-4-2021 14:01;@HAWMMuilman @mathijsbouman Heb ik weer, standaard gedrag van een klimaatontkenner door niet in te gaan op de gegev… https://t.co/TlqkDSTOHt;https://twitter.com/i/web/status/1386681950975504388;twitter.com;;26-4-2021 14:01;https://twitter.com/#!/marcbroekland/status/1386681950975504388;;;1386681950975504388;1386678858921959429
perbster;hdhaarlem;;;;;;;;;;33;;;Replies to;26-4-2021 14:30;@hdhaarlem heeft een #wappie gevonden bij #DeWaag, angst terrorisme, hoe zielig dat de geestelijke zorg dit soort m… https://t.co/3Xr4pnrJsR;https://twitter.com/i/web/status/1386689160501682176;twitter.com;wappie dewaag;26-4-2021 14:30;https://twitter.com/#!/perbster/status/1386689160501682176;;;1386689160501682176;
bennielekker;deuxchevaux3;;;;;;;;;;34;;;Mentions;26-4-2021 14:51;"@keeswitteveen @anjohejowi @Deuxchevaux3 1. Ik ben geen 'makker' van jou.
2. Volgens mij heb ik meer mensen afgelop… https://t.co/yrhmQoPRLy";https://twitter.com/i/web/status/1386694478359052290;twitter.com;;26-4-2021 14:51;https://twitter.com/#!/bennielekker/status/1386694478359052290;;;1386694478359052290;1386693248001916932
bennielekker;anjohejowi;;;;;;;;;;35;;;Mentions;26-4-2021 14:51;"@keeswitteveen @anjohejowi @Deuxchevaux3 1. Ik ben geen 'makker' van jou.
2. Volgens mij heb ik meer mensen afgelop… https://t.co/yrhmQoPRLy";https://twitter.com/i/web/status/1386694478359052290;twitter.com;;26-4-2021 14:51;https://twitter.com/#!/bennielekker/status/1386694478359052290;;;1386694478359052290;1386693248001916932
bennielekker;keeswitteveen;;;;;;;;;;36;;;Replies to;26-4-2021 14:51;"@keeswitteveen @anjohejowi @Deuxchevaux3 1. Ik ben geen 'makker' van jou.
2. Volgens mij heb ik meer mensen afgelop… https://t.co/yrhmQoPRLy";https://twitter.com/i/web/status/1386694478359052290;twitter.com;;26-4-2021 14:51;https://twitter.com/#!/bennielekker/status/1386694478359052290;;;1386694478359052290;1386693248001916932
_joep;doc_box;;;;;;;;;;37;;;Mentions;26-4-2021 15:04;@Redbluelion69 @monsdomus @NiewFreek @Doc_Box Nogmaals, deze rotzooi, zwalkend beleid, het voeden van #wappie theor… https://t.co/yIoC42SPAl;https://twitter.com/i/web/status/1386697659017318405;twitter.com;wappie;26-4-2021 15:04;https://twitter.com/#!/_joep/status/1386697659017318405;;;1386697659017318405;1386690593972269062
_joep;niewfreek;;;;;;;;;;38;;;Mentions;26-4-2021 15:04;@Redbluelion69 @monsdomus @NiewFreek @Doc_Box Nogmaals, deze rotzooi, zwalkend beleid, het voeden van #wappie theor… https://t.co/yIoC42SPAl;https://twitter.com/i/web/status/1386697659017318405;twitter.com;wappie;26-4-2021 15:04;https://twitter.com/#!/_joep/status/1386697659017318405;;;1386697659017318405;1386690593972269062
